People_ID,d20,d21,d22,d23,d24,d25,d26,d27
164,291,363,452,558,686,836,1017,1235
165,268,336,417,517,634,773,942,1144
166,177,226,288,362,450,553,679,828
167,177,226,287,361,448,550,676,824
168,268,335,417,515,633,772,941,1143
169,364,450,556,682,833,1013,1232,1491
170,182,231,293,368,457,562,690,841
171,364,452,558,685,839,1020,1238,1500
172,444,549,674,827,1008,1222,1483,1792
173,390,484,595,729,890,1081,1312,1588
174,405,499,615,755,920,1116,1354,1639
175,396,489,601,739,901,1094,1327,1606
176,417,513,630,774,946,1148,1392,1684
177,119,158,206,263,330,409,507,621
178,220,277,349,435,539,659,805,980
179,318,398,494,610,746,908,1106,1340
180,216,272,343,428,528,646,791,962
181,203,258,326,409,506,620,760,925
182,146,191,244,310,388,478,589,720
183,399,494,609,746,911,1107,1343,1625
184,324,403,498,615,752,915,1113,1349
185,277,346,432,535,656,800,975,1184
186,377,465,574,705,862,1047,1270,1538
187,228,289,363,453,558,682,834,1014
188,394,489,603,742,904,1098,1332,1612
189,247,310,388,483,597,729,888,1080
190,371,458,564,695,848,1031,1252,1516
191,167,214,273,342,424,522,640,782
192,437,538,663,810,987,1198,1451,1756
193,396,488,601,738,902,1095,1330,1609
194,151,194,250,317,395,487,600,733
195,165,212,270,338,421,518,635,776
196,182,232,293,369,458,563,690,842
197,260,325,404,500,616,752,917,1114
198,327,406,504,621,762,928,1129,1368
199,277,348,432,535,657,801,977,1186
200,381,473,582,716,873,1061,1289,1560
201,237,299,375,464,572,699,854,1038
202,257,323,403,499,614,750,915,1112
203,177,225,286,361,449,551,676,825
204,114,153,200,255,321,398,493,605
205,357,444,550,674,825,1003,1217,1475
206,290,364,451,559,685,835,1015,1233
207,117,154,201,257,325,403,498,612
208,310,388,482,593,728,887,1080,1309
209,111,148,192,247,313,388,482,591
210,152,196,252,317,397,490,602,736
211,244,309,387,481,593,724,883,1074
212,342,423,523,644,789,960,1166,1413
213,372,462,569,699,853,1036,1258,1523
214,295,370,461,567,697,850,1036,1256
215,259,327,406,505,622,760,927,1126
216,237,299,373,466,573,701,857,1042
217,252,318,396,493,608,742,907,1101
218,172,219,277,348,432,531,651,795
219,366,453,558,686,838,1018,1237,1498
220,273,343,428,531,654,798,971,1180
221,372,462,571,702,858,1043,1267,1534
222,296,370,461,568,698,850,1037,1257
223,411,506,622,762,929,1127,1366,1654
224,390,481,594,727,886,1077,1308,1583
225,369,458,566,697,851,1034,1255,1520
226,247,312,391,486,598,731,890,1083
227,403,499,615,756,923,1121,1359,1645
228,190,243,308,388,479,588,720,878
229,236,297,372,463,570,697,850,1034
230,323,404,499,616,756,920,1119,1356
231,391,482,594,727,889,1079,1311,1586
232,295,370,458,564,693,845,1030,1249
233,133,174,225,285,358,443,545,668
234,138,179,231,293,368,454,560,686
235,162,209,268,338,420,517,637,777
236,383,474,585,717,876,1064,1292,1564
237,219,276,346,433,534,654,798,972
238,335,416,513,634,775,944,1148,1391
239,160,205,263,330,410,504,622,759
240,280,352,438,542,665,811,987,1199
241,240,303,378,471,581,710,869,1055
242,278,349,433,534,655,799,975,1183
243,411,509,625,765,932,1131,1371,1659
244,372,462,571,704,860,1045,1270,1537
245,330,412,510,628,769,936,1137,1379
246,194,246,310,389,483,593,727,886
247,266,335,416,516,635,775,945,1148
248,252,316,395,489,602,736,899,1092
249,193,247,311,391,484,593,728,886
250,274,345,430,534,657,801,975,1184
251,396,488,600,738,900,1093,1326,1605
252,397,490,603,738,902,1095,1331,1610
253,238,302,377,469,577,705,862,1047
254,362,448,552,681,831,1010,1225,1485
255,165,212,269,337,421,518,638,778
256,317,394,490,606,743,905,1101,1335
257,408,505,622,763,932,1131,1373,1661
258,199,253,320,399,492,604,741,902
259,258,323,404,499,615,752,917,1114
260,418,515,632,773,942,1143,1388,1678
261,202,257,325,408,504,618,755,920
262,184,237,301,379,471,578,710,865
263,174,225,284,357,443,545,668,816
264,275,345,429,531,653,797,972,1180
265,379,471,579,711,867,1054,1281,1550
266,206,262,330,412,509,624,765,931
267,116,153,199,255,323,401,495,608
268,226,287,359,445,548,671,820,998
269,275,343,428,532,653,796,969,1177
270,382,471,581,713,873,1060,1289,1559
271,433,535,656,803,978,1187,1439,1741
272,293,365,454,561,687,838,1020,1238
273,230,292,365,452,559,684,836,1017
274,162,210,269,341,423,520,639,780
275,158,203,260,326,407,502,617,754
276,180,230,293,366,453,556,681,831
277,439,543,667,816,995,1207,1463,1769
278,371,459,566,698,854,1037,1260,1525
279,397,492,607,745,909,1104,1341,1622
280,157,204,262,329,409,504,621,758
281,278,349,435,537,660,805,982,1191
282,153,198,251,318,398,491,604,738
283,441,543,668,818,996,1208,1465,1771
284,173,222,283,354,440,541,663,810
285,325,404,501,616,753,917,1114,1351
286,286,358,446,552,676,824,1004,1218
287,314,393,486,599,734,894,1089,1320
288,155,199,254,321,399,492,606,740
289,373,462,568,700,856,1040,1264,1530
290,434,536,660,808,985,1195,1449,1752
291,372,459,565,693,847,1029,1249,1513
292,333,416,514,635,778,947,1151,1395
293,219,276,346,433,537,657,804,978
294,136,178,228,288,360,445,550,673
295,181,233,296,370,458,563,690,842
296,399,494,608,747,913,1109,1347,1629
297,403,498,613,750,913,1109,1346,1629
298,243,307,385,476,587,717,875,1064
299,413,511,629,773,944,1146,1391,1682
300,323,402,499,616,754,918,1117,1354
301,403,498,611,748,912,1107,1342,1625
302,141,185,238,303,377,466,575,703
303,449,552,679,829,1012,1227,1488,1799
304,189,241,303,378,468,575,706,860
305,367,456,562,692,844,1026,1245,1508
306,211,268,337,422,524,641,784,955
307,202,256,323,402,498,610,748,911
308,153,199,254,322,402,495,608,744
309,285,357,444,547,672,820,999,1212
310,302,375,466,575,706,860,1046,1269
311,411,508,624,765,933,1132,1373,1661
312,118,158,206,261,330,409,506,621
313,438,541,665,816,994,1206,1462,1768
314,435,535,656,804,979,1188,1440,1742
315,219,279,351,436,537,658,803,978
316,416,513,632,777,947,1149,1393,1686
317,110,147,192,248,314,390,482,593
318,392,484,598,734,896,1088,1321,1599
319,184,234,297,373,461,567,694,847
320,401,497,612,751,916,1112,1348,1632
321,362,450,556,683,834,1014,1230,1491
322,423,521,640,786,958,1163,1410,1706
323,418,516,634,777,948,1151,1397,1690
324,378,469,579,713,872,1059,1286,1557
325,264,333,414,514,631,770,940,1141
326,259,327,408,505,623,761,927,1127
327,311,388,480,592,725,884,1077,1305
328,388,481,593,727,886,1076,1307,1582
329,380,470,579,711,868,1054,1279,1549
330,365,451,558,686,838,1019,1238,1499
331,197,252,317,398,493,604,739,901
332,273,343,428,529,652,795,970,1177
333,312,387,479,591,724,882,1075,1303
334,287,360,449,557,682,831,1012,1228
335,399,494,608,746,911,1106,1341,1623
336,389,481,594,728,889,1080,1310,1586
337,278,347,433,537,661,806,982,1192
338,192,243,307,385,479,588,720,878
339,316,393,488,601,737,898,1091,1324
340,374,462,570,698,852,1035,1256,1521
341,185,237,300,378,469,576,707,862
342,388,482,595,731,891,1083,1314,1591
343,156,202,259,327,408,503,620,757
344,229,290,364,453,559,684,834,1015
345,208,264,331,413,509,624,765,931
346,418,518,638,780,952,1156,1401,1695
347,355,441,543,668,819,995,1210,1465
348,360,446,551,679,831,1010,1227,1486
349,258,326,407,507,622,759,926,1125
350,258,326,407,503,621,758,925,1123
351,168,217,277,348,433,533,653,798
352,111,147,193,246,310,385,475,585
353,405,500,614,752,919,1115,1352,1637
354,156,202,257,323,402,496,609,745
355,344,429,531,655,803,976,1186,1437
356,261,327,408,506,623,760,928,1127
357,236,298,374,467,575,703,859,1044
358,294,368,456,563,692,843,1028,1246
359,317,394,487,600,736,896,1092,1323
360,324,403,499,613,752,916,1114,1350
361,369,459,566,695,848,1031,1253,1517
362,340,423,522,644,787,957,1163,1409
363,118,156,201,256,323,401,496,609
364,449,553,680,832,1012,1228,1489,1800
365,220,279,351,439,541,663,810,986
366,416,514,631,772,941,1143,1387,1678
367,443,545,670,820,1001,1214,1471,1779
368,421,518,638,782,954,1157,1405,1699
369,423,523,644,787,960,1165,1414,1710
370,356,443,546,673,824,1002,1217,1474
371,274,344,429,533,656,800,975,1184
372,435,535,657,807,983,1192,1445,1748
373,190,242,306,382,472,579,710,865
374,231,290,364,451,558,682,833,1013
375,189,241,304,381,472,579,710,865
376,156,200,254,322,400,493,607,742
377,258,325,406,502,618,755,919,1117
378,418,518,637,778,948,1151,1395,1688
379,172,219,279,352,437,538,660,806
380,148,192,244,309,386,476,585,716
381,267,335,418,518,636,776,947,1150
382,271,338,422,525,645,787,959,1165
383,246,309,386,480,590,721,881,1070
384,433,533,653,800,975,1183,1433,1734
385,157,204,261,329,411,506,622,760
386,161,206,263,332,413,508,625,763
387,220,278,348,435,537,657,803,977
388,307,382,475,585,718,874,1063,1290
389,257,324,406,502,616,752,917,1114
390,283,356,442,547,672,819,998,1211
391,221,279,350,435,538,658,806,980
392,309,387,478,590,725,883,1075,1303
393,264,331,414,514,631,770,940,1141
394,242,303,379,470,579,708,865,1051
395,273,341,425,528,650,792,967,1173
396,270,337,420,520,638,778,950,1153
397,313,392,487,598,733,892,1086,1316
398,169,217,276,345,428,527,647,790
399,341,423,524,646,789,959,1167,1413
400,132,171,221,283,355,438,540,662
401,292,366,456,562,688,839,1021,1239
402,342,426,528,650,795,967,1177,1425
403,308,383,473,584,715,871,1060,1286
404,292,364,451,558,683,833,1015,1231
405,151,194,248,316,393,485,595,729
406,356,440,542,667,814,990,1202,1456
407,376,467,575,708,866,1052,1278,1547
408,297,370,459,565,695,847,1031,1251
409,160,208,264,333,416,512,631,770
410,247,309,385,477,588,719,878,1067
411,356,442,545,670,820,997,1210,1466
412,361,449,554,680,833,1012,1229,1489
413,211,268,338,421,521,638,779,949
414,355,441,546,673,823,1001,1215,1472
415,333,416,513,633,775,943,1147,1390
416,387,477,588,721,881,1070,1299,1572
417,338,419,518,636,777,945,1148,1392
418,180,231,294,370,459,564,692,844
419,336,416,515,632,775,944,1146,1390
420,349,432,534,656,804,978,1190,1441
421,418,518,637,778,948,1151,1395,1688
422,357,444,549,676,825,1003,1220,1477
423,150,195,249,314,393,485,597,730
424,168,215,274,344,427,525,646,788
425,137,178,231,293,368,455,561,687
426,331,411,508,627,769,936,1137,1379
427,174,225,286,358,446,548,673,821
428,410,505,621,762,928,1127,1368,1655
429,233,295,370,459,567,694,846,1030
430,186,236,300,376,465,571,702,855
431,203,259,325,407,505,619,759,924
432,167,213,271,342,426,524,645,787
433,246,311,388,483,594,726,885,1076
434,322,401,498,613,750,913,1110,1346
435,294,367,456,561,689,840,1022,1240
436,349,435,538,664,813,989,1200,1455
437,167,213,271,340,425,523,643,785
438,248,311,389,485,598,730,892,1084
439,172,219,280,352,438,539,661,807
440,335,416,515,635,778,947,1150,1394
441,245,308,386,481,592,724,884,1074
442,313,390,484,596,730,889,1083,1313
443,238,299,374,466,576,704,861,1046
444,219,276,346,433,536,656,803,977
445,426,527,649,795,969,1176,1426,1725
446,264,333,414,511,628,766,935,1135
447,425,526,647,794,968,1175,1424,1723
448,450,556,683,835,1016,1233,1494,1807
449,371,458,564,691,845,1028,1249,1512
450,225,284,357,445,548,671,820,998
451,233,295,368,456,564,689,841,1023
452,228,290,362,452,556,680,830,1010
453,356,443,546,673,822,999,1212,1469
454,139,180,231,294,366,452,559,684
455,239,302,378,471,581,710,868,1055
456,348,434,535,656,803,977,1186,1437
457,184,236,297,373,463,569,699,852
458,177,227,287,362,450,552,677,826
459,195,250,315,396,492,604,739,901
460,183,236,298,376,466,573,701,856
461,123,163,212,270,340,421,521,638
462,251,314,392,487,600,733,895,1087
463,407,503,618,760,926,1124,1363,1650
464,193,248,311,390,483,592,726,884
465,129,170,220,279,351,435,536,657
466,229,291,366,456,563,689,842,1024
467,407,501,618,760,926,1124,1364,1650
468,180,229,291,367,456,560,688,839
469,337,420,519,637,779,948,1153,1397
470,356,443,547,674,823,1001,1217,1474
471,190,241,303,380,472,579,709,865
472,337,418,519,637,778,947,1150,1394
473,146,188,242,309,387,477,588,719
474,297,371,462,571,701,854,1040,1262
475,357,443,547,675,824,1001,1215,1472
476,275,343,426,526,646,789,960,1166
477,214,271,339,422,521,638,782,951
478,144,186,238,304,381,470,578,708
479,132,174,223,283,356,440,544,666
480,126,164,212,273,342,423,523,641
481,340,424,525,648,795,966,1174,1423
482,443,547,671,820,1001,1214,1473,1781
483,407,501,616,755,920,1117,1356,1640
484,363,450,554,679,831,1011,1228,1487
485,374,462,568,697,853,1036,1259,1524
486,385,475,584,717,875,1063,1289,1561
487,343,426,525,648,792,963,1172,1419
488,129,169,217,275,345,427,528,647
489,159,204,260,327,406,500,614,751
490,248,313,391,483,594,726,885,1076
491,270,340,423,524,646,788,959,1165
492,284,354,439,543,668,814,994,1205
493,137,179,231,291,365,451,556,681
494,123,162,208,266,335,415,513,629
495,150,195,248,312,390,481,592,724
496,411,508,625,766,935,1136,1378,1667
497,434,535,658,808,986,1196,1452,1755
498,145,187,241,307,384,474,583,714
499,417,513,631,776,946,1149,1392,1685
500,276,345,431,533,656,800,974,1183
501,444,548,674,825,1005,1219,1478,1787
502,163,211,268,336,418,515,634,774
503,130,172,223,285,357,442,545,668
504,314,392,486,597,732,892,1085,1316
505,205,260,326,408,504,618,758,922
506,407,503,619,761,929,1128,1369,1656
507,146,191,245,312,388,478,589,720
508,265,331,413,510,626,764,933,1133
509,147,189,241,306,383,472,582,712
510,166,215,275,346,432,531,653,797
511,282,354,441,543,667,813,991,1203
512,288,362,451,557,684,834,1017,1233
513,343,426,527,649,794,966,1174,1422
514,219,279,349,433,534,653,800,973
515,269,336,417,515,633,773,943,1145
516,331,413,510,628,770,937,1139,1381
517,340,422,523,645,789,960,1168,1415
518,289,363,452,559,687,837,1020,1237
519,125,165,215,272,343,425,526,644
520,189,240,302,379,469,576,706,861
521,412,508,624,764,932,1132,1372,1661
522,225,283,354,439,541,662,809,985
523,265,333,414,513,629,768,936,1137
524,390,481,593,726,887,1077,1306,1582
525,169,216,273,344,427,525,645,788
526,345,427,527,647,792,963,1170,1418
527,175,224,285,360,449,552,678,827
528,139,183,236,301,378,466,576,704
529,110,147,191,245,308,382,474,582
530,330,410,506,625,765,931,1133,1373
531,337,418,517,636,777,945,1150,1393
532,340,424,525,645,788,959,1164,1411
533,409,506,624,766,933,1133,1376,1664
534,272,339,421,520,641,782,955,1159
535,211,267,335,418,516,633,774,943
536,163,212,269,338,420,517,635,776
537,224,285,356,442,547,669,817,994
538,115,151,195,252,317,393,487,598
539,354,441,546,672,821,998,1212,1468
540,241,304,382,474,585,715,873,1061
541,216,273,342,427,529,647,792,964
542,265,333,415,513,629,768,938,1138
543,199,252,318,396,490,601,736,897
544,356,440,544,670,821,998,1212,1468
545,168,217,277,348,434,534,655,800
546,171,220,280,352,436,536,657,803
547,405,499,613,753,919,1116,1353,1638
548,158,205,261,329,412,507,623,761
549,447,552,678,830,1010,1225,1485,1796
550,365,452,559,687,841,1022,1241,1503
551,199,252,319,397,492,604,740,901
552,142,184,238,302,378,466,575,703
553,187,237,300,377,467,573,702,856
554,370,457,564,691,844,1026,1247,1510
555,140,182,233,295,371,458,565,691
556,340,422,523,642,786,957,1164,1410
557,320,399,493,609,748,910,1106,1341
558,190,244,307,386,478,587,719,877
559,144,186,238,304,379,468,578,706
560,232,292,365,456,564,689,843,1025
561,447,551,678,830,1012,1227,1487,1798
562,301,377,468,579,712,867,1055,1280
563,239,300,375,468,575,704,860,1045
564,130,171,219,279,351,434,537,657
565,139,180,231,294,366,452,559,684
566,254,318,398,492,604,738,901,1095
567,434,534,656,805,982,1191,1445,1747
568,403,500,615,756,923,1121,1360,1646
569,310,385,477,589,721,878,1067,1295
570,319,398,493,609,748,910,1108,1343
571,410,505,620,762,930,1129,1370,1657
572,234,296,372,462,568,695,849,1032
573,299,372,463,573,703,856,1042,1264
574,394,486,598,736,897,1089,1321,1599
575,366,453,558,684,838,1018,1236,1497
576,444,548,674,823,1004,1217,1477,1785
577,398,491,603,738,902,1096,1329,1609
578,111,148,194,251,317,393,488,599
579,129,169,218,278,350,433,534,655
580,306,381,472,584,714,870,1058,1284
581,250,315,392,485,598,731,891,1083
582,309,386,477,587,721,878,1070,1297
583,223,282,352,437,541,662,809,985
584,120,157,205,262,329,407,503,617
585,278,348,431,535,657,802,978,1187
586,121,161,210,268,337,417,517,633
587,219,279,349,433,535,654,799,973
588,224,284,355,442,544,666,815,991
589,401,496,610,748,912,1108,1344,1627
590,399,492,606,743,907,1102,1336,1617
591,179,231,292,365,455,559,685,836
592,426,527,647,792,967,1174,1423,1722
593,156,201,257,323,404,498,614,750
594,224,282,352,439,542,663,812,987
595,136,177,228,291,366,453,558,683
596,347,432,534,659,806,980,1191,1443
597,273,342,427,526,646,788,960,1166
598,271,340,422,522,640,781,951,1155
599,419,516,634,776,948,1150,1396,1688
600,413,511,629,773,941,1143,1388,1678
601,322,402,499,616,753,916,1113,1350
602,188,240,303,381,471,579,709,865
603,207,262,329,413,511,626,767,934
604,214,271,339,425,525,642,786,957
605,341,423,524,646,791,962,1170,1417
606,145,188,241,304,381,470,580,709
607,262,327,408,505,620,757,923,1121
608,297,369,460,570,698,851,1037,1258
609,238,300,374,466,574,702,859,1044
610,145,188,242,307,385,475,584,715
611,235,297,373,465,575,703,860,1045
612,427,525,647,794,970,1177,1427,1726
613,328,408,506,625,763,929,1131,1370
614,390,481,593,727,889,1080,1313,1588
615,196,249,313,390,483,593,725,884
616,284,357,444,550,676,824,1003,1218
617,363,451,557,687,838,1018,1238,1498
618,174,225,286,358,446,548,673,821
619,426,524,644,790,964,1170,1419,1716
620,299,372,462,572,701,854,1039,1261
621,440,542,665,815,993,1205,1460,1766
622,358,445,549,677,827,1005,1221,1479
623,417,514,633,777,949,1152,1398,1691
624,337,419,517,637,780,949,1155,1399
625,430,529,649,793,967,1173,1424,1722
626,300,373,462,570,698,851,1037,1258
627,155,200,254,323,404,498,613,749
628,191,242,306,385,479,587,721,878
629,193,246,310,387,478,587,720,877
630,232,291,365,453,560,685,838,1019
631,206,262,330,411,508,623,762,928
632,249,312,388,484,596,729,890,1081
633,210,267,336,418,515,631,773,941
634,256,320,398,496,609,744,908,1103
635,428,530,651,799,974,1182,1433,1733
636,215,273,343,428,528,647,790,962
637,445,549,673,824,1002,1216,1473,1782
638,194,248,313,392,486,596,731,890
639,167,213,273,342,424,522,641,783
640,286,359,446,554,679,828,1010,1225
641,256,322,401,497,613,749,912,1109
642,371,458,565,693,847,1030,1251,1515
643,404,499,614,753,918,1115,1353,1637
644,279,350,434,537,659,804,980,1189
645,139,180,231,292,366,452,558,683
646,146,190,242,306,383,473,581,712
647,128,169,217,274,344,426,527,646
648,390,482,594,730,893,1085,1317,1594
649,320,398,494,609,747,909,1106,1341
650,121,159,206,264,332,411,507,623
651,408,505,622,764,932,1131,1374,1661
652,444,546,669,821,1000,1213,1469,1777
653,325,404,500,618,757,922,1121,1359
654,132,173,222,283,355,439,543,665
655,378,468,575,707,864,1049,1275,1543
656,363,452,559,688,840,1020,1238,1500
657,289,360,446,551,676,825,1004,1219
658,418,515,633,777,948,1150,1395,1688
659,240,301,378,470,578,707,864,1050
660,267,334,418,518,636,776,947,1150
661,233,293,367,456,561,686,838,1019
662,448,553,680,830,1011,1226,1487,1798
663,335,417,516,637,779,948,1151,1396
664,299,373,463,573,703,856,1043,1265
665,172,219,277,348,433,532,654,798
666,158,204,261,328,409,504,621,758
667,205,262,331,413,513,628,770,937
668,287,357,443,548,671,819,996,1210
669,389,482,594,727,886,1076,1306,1581
670,284,356,444,547,671,818,997,1210
671,287,360,447,552,677,825,1006,1220
672,390,482,593,726,887,1078,1310,1585
673,138,180,230,293,369,456,561,687
674,405,500,617,756,922,1120,1360,1645
675,135,177,229,289,363,449,554,678
676,205,262,330,414,512,627,767,934
677,262,327,407,505,620,758,924,1123
678,295,368,456,563,690,841,1023,1242
679,305,381,474,585,717,874,1062,1289
680,276,346,431,532,653,796,972,1179
681,237,298,372,461,568,694,849,1032
682,126,166,214,274,344,426,525,644
683,201,255,323,404,499,612,748,912
684,121,161,208,264,330,410,507,622
685,424,522,642,786,959,1164,1413,1709
686,181,233,296,372,461,566,696,848
687,233,294,368,459,565,691,843,1026
688,278,347,431,535,659,804,981,1190
689,399,495,609,749,913,1109,1345,1628
690,216,272,342,425,525,643,787,958
691,329,410,506,625,766,932,1134,1374
692,350,434,537,661,808,983,1193,1446
693,308,384,476,589,722,880,1072,1299
694,182,231,292,365,453,556,681,831
695,383,476,585,720,880,1069,1299,1572
696,224,285,356,442,547,669,819,996
697,364,451,556,685,836,1017,1236,1496
698,154,199,255,324,405,499,615,751
699,162,207,263,333,416,512,630,769
700,426,527,647,792,965,1171,1421,1718
701,284,355,442,545,670,817,997,1209
702,136,178,230,293,367,453,559,684
703,377,468,579,709,867,1053,1278,1548
704,143,186,238,304,379,468,578,706
705,421,521,641,784,954,1158,1404,1699
706,358,446,549,675,826,1005,1220,1478
707,212,267,337,421,522,639,783,953
708,376,467,576,706,863,1048,1273,1541
709,254,318,397,491,605,740,902,1096
710,377,468,577,709,867,1053,1278,1548
711,183,236,297,371,461,566,693,846
712,222,282,355,441,543,665,812,988
713,395,490,602,739,901,1095,1329,1608
714,383,473,583,715,872,1060,1288,1559
715,313,390,482,596,730,889,1083,1313
716,325,405,503,619,759,924,1125,1363
717,316,392,487,601,738,898,1093,1325
